car,move
J,-1
I,2
H,1
E,1
D,-1
C,-1
G,-1
L,-1
D,1
E,-1
L,1
H,-2
I,-2
J,1
H,1
L,-1
J,-1
I,1
L,1
G,1
A,-1
I,1
H,1
G,-2
X,1
L,-1
H,-1
X,-1
L,-1
J,-2
I,-2
J,3
L,2
X,1
J,-1
I,1
F,1
X,-1
K,-1
I,1
X,1
K,-1
I,-2
J,1
K,1
X,-1
G,1
K,1
J,-1
I,2
H,1
K,-1
F,1
B,-1
K,1
F,-2
L,-1
H,-1
I,-2
L,1
J,1
G,1
C,1
J,-1
I,2
H,1
E,1
D,-1
C,-1
G,-1
F,1
K,-1
B,1
G,-1
X,1
K,1
F,-1
X,-1
L,-2
J,-2
E,2
H,-1
I,-3
H,1
E,-2
J,3
L,2
X,1
L,-1
J,-1
X,-1
G,1
L,1
G,1
D,-1
J,1
E,2
H,-1
I,1
D,2
G,-2
X,3
L,-2
D,-1
L,1
X,-2
L,1
X,1
I,-1
X,1
H,1
L,-2
E,-1
L,1
X,-1
L,1
F,1
X,1
K,-2
X,-2
K,1
E,1
X,2
H,-1
X,-1
K,-1
X,-1
I,1
X,2
K,2
G,1
K,-1
D,1
K,-1
B,-1
K,2
F,-1
L,-1
D,-1
I,-2
X,1
